지역,2016,2017,2018,2019,2020
서울,9843000,9766000,9705000,9662000,9602000
부산,3447000,3424000,3400000,3373000,3344000
대구,2461000,2458000,2450000,2432000,2419000
인천,2907000,,,,
광주,1502000,1495000,1493000,1494000,1488000
대전,1536000,1528000,1518000,1509000,1500000
울산,1166000,1159000,1154000,1147000,1140000
세종,234000,266000,304000,331000,349000
경기,12600000,12786000,13031000,13238000,13405000
강원,1521000,1521000,1521000,1517000,1515000
충북,1601000,1609000,1619000,1626000,1632000
충남,2126000,2153000,2180000,2188000,2204000
전북,1835000,1829000,1820000,1803000,1792000
전남,1798000,1795000,1790000,1773000,1764000
경북,2683000,2675000,2674000,2665000,2655000
경남,3338000,3339000,3356000,3350000,3350000
제주,618000,635000,653000,660000,670000
수도권,25350000,25476000,25675000,25844000,25958000
