순위,곡명,가수명
1,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
3,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
4,사랑은 늘 도망가,임영웅
5,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student
6,쉬어 (Feat. MINO) (Prod. GRAY),아넌딜라이트(Anandelight)
7,strawberry moon,아이유
8,Wake Up (Prod. 코드 쿤스트),개코
9,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오)
10,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE'O (비오)
11,다정히 내 이름을 부르면,경서예지
12,Savage,aespa
13,신호등,이무진
14,이제 나만 믿어요,임영웅
15,ELEVEN,IVE (아이브)
16,STAY,The Kid LAROI
17,Next Level,aespa
18,그대라는 사치,임영웅
19,별빛 같은 나의 사랑아,임영웅
20,My Universe,Coldplay
21,매일 크리스마스 (Everyday Christmas),다비치
22,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)",조광일
23,너를 생각해,주시크 (Joosiq)
24,다시 사랑한다면 (김필 Ver.),임영웅
25,All I Want for Christmas Is You,Mariah Carey
26,Butter,방탄소년단
27,OHAYO MY NIGHT,디핵 (D-Hack)
28,HERO,임영웅
29,잊었니,임영웅
30,Santa Tell Me,Ariana Grande
31,Permission to Dance,방탄소년단
32,눈이 오잖아(Feat.헤이즈),이무진
33,끝사랑,임영웅
34,Bk Love,임영웅
35,낙하 (with 아이유),AKMU (악뮤)
36,바라만 본다,MSG워너비(M.O.M)
37,문득,BE'O (비오)
38,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",쿤타
39,Dynamite,방탄소년단
40,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
41,계단말고 엘리베이터,임영웅
42,헤픈 우연,헤이즈 (Heize)
43,Celebrity,아이유
44,Weekend,태연 (TAEYEON)
45,Bad Habits,Ed Sheeran
46,라일락,아이유
47,너와 나의 Memories,염따
48,밤하늘의 별을(2020),경서
49,"UP해 (Feat. 박재범, 우원재) (Prod. 코드 쿤스트)",SINCE
50,고백,멜로망스
51,Snowman,Sia
52,"08베이식 (Feat. 염따, punchnello)",베이식 (Basick)
53,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
54,가리온 (Feat. 다이나믹 듀오) (Prod. Primary),조광일
55,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌
56,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
57,롤린 (Rollin'),브레이브걸스
58,TROUBLE (Prod. Slom),Don Mills
59,"Reset (Feat. 개코, Kid Milli) (Prod. 코드 쿤스트)",SINCE
60,SCIENTIST,TWICE (트와이스)
61,좋아좋아,조정석
62,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
63,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
64,내 손을 잡아,아이유
65,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
67,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
68,밝게 빛나는 별이 되어 비춰줄게,송이한
69,추억은 만남보다 이별에 남아,정동하
70,지나고 보면 (Feat. 화사 & MINO) (Prod. GRAY),BE'O (비오)
71,Last Christmas,Ariana Grande
72,봄날,방탄소년단
73,DUMB DUMB,전소미
74,SIGN (Feat. 미란이) (Prod. 코드 쿤스트),SINCE
75,비가 오는 날엔 (2021),헤이즈 (Heize)
76,Dun Dun Dance,오마이걸 (OH MY GIRL)
77,바래 (Feat. 정인) (Prod. TOIL),쿤타
78,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy)
79,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
80,비와 당신,이무진
81,크리스마스니까,성시경
82,다음생이 있다면 당신을 만나서 다시 사랑할래요,임재현
83,Off My Face,Justin Bieber
84,Queendom,Red Velvet (레드벨벳)
85,Blueming,아이유
86,ASAP,STAYC(스테이씨)
87,Life Goes On,방탄소년단
88,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
89,"BE ! (Feat. 팔로알토, lIlBOI) (Prod. PEEJAY & Slom)",sokodomo
90,그날에 나는 맘이 편했을까,이예준
91,취기를 빌려 (취향저격 그녀 X 산들),산들
92,Rock with you,세븐틴
93,가을 우체국 앞에서,김대명
94,멜로디,ASH ISLAND
95,가시 (Prod. 코드 쿤스트),조광일
96,"FACE TIME (Feat. 기리보이, pH-1, 개코) (Prod. 코드 쿤스트)",SINCE
97,하루만 더,빅마마
98,어제 너는 나를 버렸어,10CM
99,"Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta
100,에잇(Prod.&Feat. SUGA of BTS),아이유
